"Data generating values","n","ate","sd","bias"
"n = 500, SD = 1",500,50.0033296210884,0.0880483264112385,0.00332962108838114
"n = 500, SD = 1",244,49.9997260124608,0.12575568739653,-0.000273987539194621
"n = 500, SD = 1",244,49.9997260124608,0.12575568739653,-0.000273987539194252
"n = 500, SD = 45",500,49.9095324385014,4.17695067705552,-0.0904675614986358
"n = 500, SD = 45",258,49.8483175964262,5.74592631499345,-0.151682403573771
"n = 500, SD = 45",258,49.8483175964262,5.74592631499345,-0.151682403573771
"n = 2000, SD = 1",2000,49.9987041485627,0.0443724478546827,-0.00129585143726067
"n = 2000, SD = 1",997,49.9969921516281,0.0602179480046509,-0.00300784837192072
"n = 2000, SD = 1",997,49.9969921516281,0.0602179480046512,-0.00300784837192094
"n = 2000, SD = 45",2000,49.9768614313947,2.03939467283809,-0.023138568605289
"n = 2000, SD = 45",1003,49.8670543749532,2.84767304297321,-0.132945625046755
"n = 2000, SD = 45",1003,49.8670543749532,2.84767304297321,-0.132945625046756
