"Data generating values","n","ate","sd","bias"
"n = 500, SD = 23",500,49.8993654974133,2.5548769222759,-0.100634502586735
"n = 500, SD = 23",236,49.9830178377624,3.49997404094237,-0.0169821622376092
"n = 500, SD = 23",236,49.9830178377624,3.49997404094237,-0.0169821622376094
"n = 500, SD = 68",500,50.0384627960752,6.48154731883828,0.0384627960752453
"n = 500, SD = 68",262,49.8630504946127,9.12095405983557,-0.136949505387259
"n = 500, SD = 68",262,49.8630504946127,9.12095405983557,-0.136949505387259
"n = 2000, SD = 23",2000,49.9849322849199,1.26135159956109,-0.0150677150801248
"n = 2000, SD = 23",985,50.0304998830418,1.72726975302698,0.0304998830417939
"n = 2000, SD = 23",985,50.0304998830418,1.72726975302698,0.0304998830417946
"n = 2000, SD = 68",2000,50.0570733525704,3.09415395447179,0.0570733525704343
"n = 2000, SD = 68",1016,50.0830677463541,4.47604964451301,0.0830677463540525
"n = 2000, SD = 68",1016,50.0830677463541,4.47604964451301,0.0830677463540515
