"Data generating values","n","ate","sd","bias","sd_bias"
"n = 500, SD = 23",500,48.1794408492795,2.46531519587173,-1.82055915072047,2.46531519587173
"n = 500, SD = 23",244,48.3351854575957,3.49328661413587,-1.6648145424043,3.49328661413587
"n = 500, SD = 23",244,48.2274974549829,3.58297474227006,-1.77250254501711,3.58297474227006
"n = 500, SD = 68",500,48.4430019513501,6.76241558663345,-1.55699804864986,6.76241558663345
"n = 500, SD = 68",258,47.8745715469764,9.48118268913928,-2.12542845302362,9.48118268913928
"n = 500, SD = 68",258,47.7425024130365,9.62222224500351,-2.25749758696348,9.62222224500351
"n = 2000, SD = 23",2000,49.2736081242385,1.08220721046241,-0.726391875761515,1.08220721046241
"n = 2000, SD = 23",997,49.070992785566,1.61192376971796,-0.92900721443397,1.61192376971796
"n = 2000, SD = 23",997,48.9836955953625,1.70940909643646,-1.01630440463745,1.70940909643646
"n = 2000, SD = 68",2000,49.4081296014508,3.10762737890463,-0.591870398549182,3.10762737890463
"n = 2000, SD = 68",1003,49.3109241585128,4.54047240926244,-0.689075841487205,4.54047240926244
"n = 2000, SD = 68",1003,49.2382863887241,4.58208145438185,-0.761713611275876,4.58208145438185
